symbol,date,price
AAPL,1/13/2022,172.19
AAPL,1/12/2022,175.53
AAPL,1/11/2022,175.08
AAPL,1/10/2022,172.19
AAPL,1/7/2022,172.17
AAPL,1/6/2022,172
AAPL,1/5/2022,174.92
AAPL,1/4/2022,179.7
AAPL,1/3/2022,182.01
AMZN,9/23/2022,113.78
AMZN,9/22/2022,117.31
AMZN,9/21/2022,118.54
AMZN,9/20/2022,122.19
AMZN,9/19/2022,124.66
AMZN,9/16/2022,123.58
AMZN,9/15/2022,126.28
AMZN,9/14/2022,128.63
AMZN,9/13/2022,126.82
AMZN,9/12/2022,136.45
AMZN,9/9/2022,133.27
AMZN,9/8/2022,129.82
AMZN,9/7/2022,129.48
AMZN,9/6/2022,126.11
AMZN,9/2/2022,127.51
AMZN,9/1/2022,127.82
AMZN,8/31/2022,126.77
AMZN,8/30/2022,128.73
AMZN,8/29/2022,129.79
AMZN,8/26/2022,130.75
AMZN,8/25/2022,137.28
AMZN,8/24/2022,133.8
AMZN,8/23/2022,133.62
AMZN,8/22/2022,133.22
AMZN,8/19/2022,138.23
AMZN,8/18/2022,142.3
AMZN,8/17/2022,142.1
AMZN,8/16/2022,144.78
AMZN,8/15/2022,143.18
AMZN,8/12/2022,143.55
AMZN,8/11/2022,140.64
AMZN,8/10/2022,142.69
AMZN,8/9/2022,137.83
AMZN,8/8/2022,139.41
AMZN,8/5/2022,140.8
AMZN,8/4/2022,142.57
AMZN,8/3/2022,139.52
AMZN,8/2/2022,134.16
AMZN,8/1/2022,135.39
AMZN,7/29/2022,134.95
AMZN,7/28/2022,122.28
AMZN,7/27/2022,120.97
AMZN,7/26/2022,114.81
AMZN,7/25/2022,121.14
AMZN,7/22/2022,122.42
AMZN,7/21/2022,124.63
AMZN,7/20/2022,122.77
AMZN,7/19/2022,118.21
AMZN,7/18/2022,113.76
AMZN,7/15/2022,113.55
AMZN,7/14/2022,110.63
AMZN,7/13/2022,110.4
AMZN,7/12/2022,109.22
AMZN,7/11/2022,111.75
AMZN,7/8/2022,115.54
AMZN,7/7/2022,116.33
AMZN,7/6/2022,114.33
AMZN,7/5/2022,113.5
AMZN,7/1/2022,109.56
AMZN,6/30/2022,106.21
AMZN,6/29/2022,108.92
AMZN,6/28/2022,107.4
AMZN,6/27/2022,113.22
AMZN,6/24/2022,116.46
AMZN,6/23/2022,112.44
AMZN,6/22/2022,108.95
AMZN,6/21/2022,108.68
AMZN,6/17/2022,106.22
AMZN,6/16/2022,103.66
AMZN,6/15/2022,107.67
AMZN,6/14/2022,102.31
AMZN,6/13/2022,103.67
AMZN,6/10/2022,109.65
AMZN,6/9/2022,116.15
AMZN,6/8/2022,121.18
AMZN,6/7/2022,123
AMZN,6/6/2022,124.79
AMZN,6/3/2022,122.35
AMZN,6/2/2022,125.51
AMZN,6/1/2022,121.68
AMZN,5/31/2022,120.21
AMZN,5/27/2022,115.15
AMZN,5/26/2022,111.08
AMZN,5/25/2022,106.78
AMZN,5/24/2022,104.1
AMZN,5/23/2022,107.56
AMZN,5/20/2022,107.59
AMZN,5/19/2022,107.32
AMZN,5/18/2022,107.11
AMZN,5/17/2022,115.37
AMZN,5/16/2022,110.81
AMZN,5/13/2022,113.06
AMZN,5/12/2022,106.93
AMZN,5/11/2022,105.37
AMZN,5/10/2022,108.86
AMZN,5/9/2022,108.79
AMZN,5/6/2022,114.77
AMZN,5/5/2022,116.41
AMZN,5/4/2022,125.93
AMZN,5/3/2022,124.25
AMZN,5/2/2022,124.5
AMZN,4/29/2022,124.28
AMZN,4/28/2022,144.6
AMZN,4/27/2022,138.17
AMZN,4/26/2022,139.39
AMZN,4/25/2022,146.07
AMZN,4/22/2022,144.35
AMZN,4/21/2022,148.3
AMZN,4/20/2022,154
AMZN,4/19/2022,158.12
AMZN,4/18/2022,152.78
AMZN,4/14/2022,151.71
AMZN,4/13/2022,155.54
AMZN,4/12/2022,150.79
AMZN,4/11/2022,151.12
AMZN,4/8/2022,154.46
AMZN,4/7/2022,157.78
AMZN,4/6/2022,158.76
AMZN,4/5/2022,164.06
AMZN,4/4/2022,168.35
AMZN,4/1/2022,163.56
AMZN,3/31/2022,163
AMZN,3/30/2022,166.3
AMZN,3/29/2022,169.31
AMZN,3/28/2022,168.99
AMZN,3/25/2022,164.77
AMZN,3/24/2022,163.65
AMZN,3/23/2022,163.41
AMZN,3/22/2022,164.89
AMZN,3/21/2022,161.49
AMZN,3/18/2022,161.25
AMZN,3/17/2022,157.24
AMZN,3/16/2022,153.1
AMZN,3/15/2022,147.37
AMZN,3/14/2022,141.85
AMZN,3/11/2022,145.52
AMZN,3/10/2022,146.82
AMZN,3/9/2022,139.28
AMZN,3/8/2022,136.01
AMZN,3/7/2022,137.45
AMZN,3/4/2022,145.64
AMZN,3/3/2022,147.9
AMZN,3/2/2022,152.05
AMZN,3/1/2022,151.14
AMZN,2/28/2022,153.56
AMZN,2/25/2022,153.79
AMZN,2/24/2022,151.36
AMZN,2/23/2022,144.83
AMZN,2/22/2022,150.2
AMZN,2/18/2022,152.6
AMZN,2/17/2022,154.65
AMZN,2/16/2022,158.1
AMZN,2/15/2022,156.51
AMZN,2/14/2022,155.17
AMZN,2/11/2022,153.29
AMZN,2/10/2022,159
AMZN,2/9/2022,161.19
AMZN,2/8/2022,161.41
AMZN,2/7/2022,157.94
AMZN,2/4/2022,157.64
AMZN,2/3/2022,138.85
AMZN,2/2/2022,150.61
AMZN,2/1/2022,151.19
AMZN,1/31/2022,149.57
AMZN,1/28/2022,143.98
AMZN,1/27/2022,139.64
AMZN,1/26/2022,138.87
AMZN,1/25/2022,139.99
AMZN,1/24/2022,144.54
AMZN,1/21/2022,142.64
AMZN,1/20/2022,151.67
AMZN,1/19/2022,156.3
AMZN,1/18/2022,158.92
AMZN,1/14/2022,162.14
AMZN,1/13/2022,161.21
AMZN,1/12/2022,165.21
AMZN,1/11/2022,165.36
AMZN,1/10/2022,161.49
AMZN,1/7/2022,162.55
AMZN,1/6/2022,163.25
AMZN,1/5/2022,164.36
AMZN,1/4/2022,167.52
AMZN,1/3/2022,170.4
GOOGL,9/23/2022,98.74
GOOGL,9/22/2022,100.14
GOOGL,9/21/2022,99.28
GOOGL,9/20/2022,101.14
GOOGL,9/19/2022,103.07
GOOGL,9/16/2022,102.8
GOOGL,9/15/2022,102.91
GOOGL,9/14/2022,105
GOOGL,9/13/2022,104.32
GOOGL,9/12/2022,110.86
GOOGL,9/9/2022,110.65
GOOGL,9/8/2022,108.38
GOOGL,9/7/2022,109.45
GOOGL,9/6/2022,106.81
GOOGL,9/2/2022,107.85
GOOGL,9/1/2022,109.74
GOOGL,8/31/2022,108.22
GOOGL,8/30/2022,108.94
GOOGL,8/29/2022,109.42
GOOGL,8/26/2022,110.34
GOOGL,8/25/2022,116.65
GOOGL,8/24/2022,113.69
GOOGL,8/23/2022,113.86
GOOGL,8/22/2022,114.24
GOOGL,8/19/2022,117.21
GOOGL,8/18/2022,120.17
GOOGL,8/17/2022,119.55
GOOGL,8/16/2022,121.7
GOOGL,8/15/2022,122.08
GOOGL,8/12/2022,121.68
GOOGL,8/11/2022,118.84
GOOGL,8/10/2022,119.7
GOOGL,8/9/2022,116.63
GOOGL,8/8/2022,117.3
GOOGL,8/5/2022,117.47
GOOGL,8/4/2022,118.19
GOOGL,8/3/2022,118.08
GOOGL,8/2/2022,115.13
GOOGL,8/1/2022,114.86
GOOGL,7/29/2022,116.32
GOOGL,7/28/2022,114.22
GOOGL,7/27/2022,113.06
GOOGL,7/26/2022,105.02
GOOGL,7/25/2022,107.51
GOOGL,7/22/2022,107.9
GOOGL,7/21/2022,114.34
GOOGL,7/20/2022,113.9
GOOGL,7/19/2022,113.81
GOOGL,7/18/2022,109.03
GOOGL,7/15/2022,111.78
GOOGL,7/14/2022,110.37
GOOGL,7/13/2022,111.35
GOOGL,7/12/2022,114.02
GOOGL,7/11/2022,115.68
GOOGL,7/8/2022,119.35
